universal_label,nes_address,nes_size,snes_address,snes_size,gba_address,gba_size,category,description
Map_EnterLevelFX,$0020,1,,0,,0,Video,"When entering a level on the map, dictates the status of the entry (0=None, 1=Boxing in, 2=Boxing out [J only])"
Map_ScrollOddEven,$0020,1,,0,,0,Camera,Toggles odd/even column as it scrolls
,$0021,1,,0,,0,Empty,Unused.
Level_Width,$0022,1,,0,,0,Level,"Width of current level, in screens (0 = don't move at all, max is 15H/16V)"
Scroll_VOffsetT,$0023,1,,0,,0,Camera,Current tile offset (every 16px) of top of screen (vertical level style ONLY)
Scroll_ColumnR,$0023,1,,0,,0,Camera,Current tile column (every 16px) of right side of screen (non-vertical level style ONLY)
Scroll_VOffsetB,$0024,1,,0,,0,Camera,Current tile offset (every 16px) of bottom of screen (vertical level style ONLY)
Scroll_ColumnL,$0024,1,,0,,0,Camera,Current tile column (every 16px) of left side of screen (non-vertical level style ONLY)
Scroll_ColorStrip,$0025,54,,0,,0,Graphics,"This stores a strip of just the upper 2 bits of a tile ($00, $40, $80, $C0) to produce attribute info"
Scroll_LastDir,$005B,1,,0,,0,Camera,"0=screen last moved right (or up, if vertical), 1=screen last moved left (or down, if vertical)"
Scroll_RightUpd,$005C,1,,0,,0,Camera,"Indicates every 8 pixels update going to the right, or $FF if screen moves left"
Scroll_VertUpd,$005C,1,,0,,0,Camera,"Indicates every 8 pixels update up or down, in vertical levels"
Scroll_LeftUpd,$005D,1,,0,,0,Camera,"Indicates every 8 pixels update going to the left, or $FF if screen moves right"
Graphics_Queue,$005E,1,,0,,0,Misc.,"Prepares to perform a Video_Update when possible, indexes the ""Video_Upd_Table"" in PRG030 OR Video_Upd_Table2 in PRG025 (whichever is currently in context)
Also resets the graphics buffer afterward, since the RAM buffer is constantly being called to possibly perform its own updates after this value resets to zero."
,$005F,2,,0,,0,Empty,Unused.
Level_LayPtr_AddrL,$0061,1,,0,,0,Level,Low byte of address to tile layout (ORIGINAL stored in Level_LayPtrOrig_AddrL)
Level_LayPtr_AddrH,$0062,1,,0,,0,Level,High byte of address to tile layout (ORIGINAL stored in Level_LayPtrOrig_AddrH)
Map_Tile_AddrL,$0063,1,,0,,0,Level,Low byte of tile address
BonusText_BaseL,$0063,1,,0,,0,Bonus Game,Instruction text base address low
Map_Tile_AddrH,$0064,1,,0,,0,Level,High byte of tile address
BonusText_BaseH,$0064,1,,0,,0,Bonus Game,Instruction text base address high
Level_ObjPtr_AddrL,$0065,1,,0,,0,Level,Low byte of address to object set (ORIGINAL stored in Level_ObjPtrOrig_AddrL)
Level_ObjPtr_AddrH,$0066,1,,0,,0,Level,High byte of address to object set (ORIGINAL stored in Level_ObjPtrOrig_AddrH)
,$0067,2,,0,,0,Empty,Unused.
Video_Upd_AddrL,$0069,1,,0,,0,Video,"Video_Misc_Updates routine uses this as an address, low byte"
Video_Upd_AddrH,$006A,1,,0,,0,Video,"Video_Misc_Updates routine uses this as an address, hi byte"
Music_Base_L,$006B,1,,0,,0,Audio,Current music segment base address low byte
Music_Base_H,$006C,1,,0,,0,Audio,Current music segment base address high byte
Sound_Sqr_FreqL,$006D,1,,0,,0,Audio,Calculated square wave frequency for Note On (low byte)
Sound_Sqr_FreqH,$006E,1,,0,,0,Audio,Calculated square wave frequency for Note On (high byte)
Sound_Map_EntrV,$006F,1,,0,,0,Audio,"Current index into the volume ramp-down table used exclusively for the ""level enter"" sound"
Sound_Map_EntV2,$0070,1,,0,,0,Audio,"Same as Sound_Map_EntrV, only for the second track"
Music_PatchAdrL,$0071,1,,0,,0,Audio,Music current patch address low byte
Music_PatchAdrH,$0072,1,,0,,0,Audio,Music current patch address high byte
Sound_Map_Off,$0073,1,,0,,0,Audio,"Current ""offset"" within a map sound effect"
,$0074,1,,0,,0,Empty,Unused.
Ending2_PicState,$0075,1,,0,,0,Title Screen/Ending,Ending part 2 picture loader state
Title_XPosHi,$0075,8,,0,,0,Title Screen/Ending,"""High"" part of the extended precision X position for all objects"
World_Map_Y,$0075,2,,0,,0,Overworld,(Mario/Luigi) Y pixel coordinate position of Mario on world map
Vs_State,$0075,1,,0,,0,Battle Mode,2P Vs Mode state
Player_XHi,$0075,1,,0,,0,Player,Player X Hi
Ending2_ClearLen,$0076,1,,0,,0,Title Screen/Ending,Length of clear run
Vs_IsPaused,$0076,1,,0,,0,Battle Mode,"If set, 2P Vs is paused"
Objects_XHi,$0076,8,,0,,0,Sprites,Other object's X Hi positions
Ending2_ClearPat,$0077,1,,0,,0,Title Screen/Ending,Pattern to clear the screen with
World_Map_XHi,$0077,2,,0,,0,Overworld,(Mario/Luigi) X pixel (hi byte) coordinate position of Mario on world map
Ending2_PicVRAMH,$0078,1,,0,,0,Title Screen/Ending,Ending part 2 picture VRAM Hi
Ending2_PicVRAML,$0079,1,,0,,0,Title Screen/Ending,Ending part 2 picture VRAM Lo
World_Map_X,$0079,2,,0,,0,Overworld,(Mario/Luigi) X pixel (lo byte) coordinate position of Mario on world map
Ending2_QCmdEnd,$007A,1,,0,,0,Title Screen/Ending,Ending2_QueueCmd is incremented to this point
Ending2_FadeTimer,$007B,1,,0,,0,Title Screen/Ending,Timer which controls the speed of the fade between worlds
World_Map_Move,$007B,2,,0,,0,Overworld,(Mario/Luigi) Movement left in specified direction (even numbers only!)
Ending2_QueueCmd,$007C,1,,0,,0,Title Screen/Ending,"Incremented after posting, up to Ending2_QCmdEnd"
Ending2_TimerH,$007D,1,,0,,0,Title Screen/Ending,"Ending part 2 timer ""high"" part"
Title_YPosHi,$007D,8,,0,,0,Title Screen/Ending,"""High"" part of the extended precision Y position for all objects"
World_Map_Dir,$007D,2,,0,,0,Overworld,"(Mario/Luigi) Specified travel direction (8=Up, 4=Down, 2=Left, 1=Right)"
Ending2_TimerL,$007E,1,,0,,0,Title Screen/Ending,"Ending part 2 timer ""low"" part"
Ending2_CurWorld,$007F,1,,0,,0,Title Screen/Ending,Current world we're showing (8 = THE END)
Objects_Var4,$007F,5,$7E004D,5,,0,Sprites,Generic variable 4 for objects SLOT 0 - 4 ONLY
CineKing_DialogState,$007F,1,,0,,0,Level,"Toad & King Cinematic: When 1, we're doing the text versus the dialog box itself"
Map_UnusedPlayerVal,$007F,2,,0,,0,Overworld,"(Mario/Luigi) Set for each Player to $20 when returning to map, but apparently unused otherwise!"
Map_UnusedPlayerVal2,$0084,2,,0,,0,Overworld,"(Mario/Luigi) Apparently unused at all, but backed up and persisted on the world map"
Level_GndLUT_Addr,$0084,2,,0,,0,Level,(TOFIX)
Pipe_PlayerX,$0084,1,,0,,0,Player,Stores Player's X when they went into pipe (non-transit)
Title_ObjX,$0085,0,,0,,0,Misc.,Title screen object X positions
Pipe_PlayerY,$0085,1,,0,,0,Player,"Stores Player's Y when they went into pipe (non-transit, aligned to nearest 16, minus 1)"
Map_WWOrHT_Y,$0086,1,,0,,0,Overworld,Warp Whistle wind or Hand Trap Y position
Player_YHi,$0087,1,,0,,0,Player,Player Y Hi
Map_HandTrap_XHi,$0087,1,,0,,0,Overworld,"Hand Trap X Hi (most vars are shared with warp wind, but technically not this one!)"
Map_WWOrHT_X,$0088,1,,0,,0,Overworld,Warp Whistle wind or Hand Trap X position
Objects_YHi,$0088,8,,0,,0,Sprites,Other object's Y Hi positions
Map_WWOrHT_Cnt,$0089,1,,0,,0,Overworld,Warp Whistle wind or Hand Trap counter
Map_WWOrHT_Dir,$008A,1,,0,,0,Overworld,"Direction the Warp Whistle wind travels (0 = right, 1 = left)"
Map_StarFX_State,$008B,1,,0,,0,Overworld,0 - 2 NOTE: Shared with Map_WarpWind_FX
BonusCoins_State,$008B,1,,0,,0,Bonus Game,(TOFIX)
Map_WarpWind_FX,$008B,1,,0,,0,Overworld,1 - 4 is the warp whistle effect
World_Map_Twirl,$008C,0,,0,,0,Misc.,"If set, Mario is ""twirling"""
Title_ObjY,$008D,8,,0,,0,Title Screen/Ending,Title screen object Y positions
Map_Skid_DeltaY,$008E,1,,0,,0,Overworld,Delta applied directly to Y
Map_Skid_DeltaFracY,$008F,1,,0,,0,Overworld,Fractional delta Y
Player_X,$0090,1,,0,,0,Player,Player X
Map_Skid_FracY,$0090,1,,0,,0,Overworld,Fractional Y accumulator
Objects_X,$0091,8,,0,,0,Sprites,Other object's X positions
Map_Skid_DeltaX,$0092,1,,0,,0,Overworld,Delta applied directly to X
Map_Skid_DeltaFracX,$0093,1,,0,,0,Overworld,Fractional delta X
Map_Skid_FracX,$0094,1,,0,,0,Overworld,Fractional X accumulator
Map_Skid_FracCarry,$0095,1,,0,,0,Overworld,Fractional carry over accumulator (I think?)
Title_ObjXVel,$0095,8,,0,,0,Title Screen/Ending,X velocities of title screen objects (4.4FP)
Map_Skid_Count,$0096,1,,0,,0,Overworld,Just a ticker controlling the display frame of the twirl
Map_Skid_Counter,$0097,1,,0,,0,Overworld,Just a ticker controlling the display frame of the twirl
Map_Skid_TravDirs,$0098,1,,0,,0,Overworld,"specifies which way Player must ""twirl"" to get to the destination
Bit 0 Set = Player must travel to the right versus the left
Bit 1 Set = Player must travel downward versus upward"
Objects_Var5,$009A,8,,0,,0,Sprites,Generic variable 5 for objects
CineKing_Var,$009A,1,,0,,0,Level,General variable
Map_StarsX,$009B,8,,0,,0,Overworld,"During World Intro, X position of each star"
Title_ObjYVel,$009D,8,,0,,0,Title Screen/Ending,Y velocities of title screen objects
Player_Y,$00A2,1,,0,,0,Player,Player Y
Objects_Y,$00A3,8,,0,,0,Sprites,Other object's Y positions
Map_StarsY,$00A3,8,,0,,0,Overworld,"During World Intro, Y position of each star"
Title_XPosFrac,$00A5,8,,0,,0,Title Screen/Ending,X position extended precision of objects (provides 4-bit fixed point)
Map_StarsOutRad,$00AB,1,,0,,0,Overworld,"During World Intro, stars take off radius (0 = smallest, increments for larger)"
Player_SpriteX,$00AB,1,,0,,0,Player,Player's sprite X
Objects_SpriteX,$00AC,8,,0,,0,Sprites,Other object's sprite X positions
Title_YPosFrac,$00AD,8,,0,,0,Title Screen/Ending,Y position extended precision of objects (provides 4-bit fixed point)
Map_StarsXSteps,$00AF,1,,0,,0,Overworld,"During World Intro, number of ""steps"" remaining in the X position adjustment"
Map_StarsRadCnt,$00B0,1,,0,,0,Overworld,"During World Intro, adds $70 per display frame and adds 1 to the radius when it overflows"
Map_StarsCenterX,$00B1,1,,0,,0,Overworld,"During World Intro, X center of stars"
Map_StarsCenterY,$00B2,1,,0,,0,Overworld,"During World Intro, Y center of stars"
Map_StarsDeltaR,$00B3,1,,0,,0,Overworld,"During World Intro, delta to the star radii"
Player_SpriteY,$00B4,1,,0,,0,Player,Player's sprite Y
Map_StarsConst9,$00B4,1,,0,,0,Overworld,"During World Intro, ... Constant 9?"
Objects_SpriteY,$00B5,8,,0,,0,Sprites,Other object's sprite Y positions
Title_ObjYVelChng,$00B5,2,,0,,0,Title Screen/Ending,Mario / Luigi change in Y velocity flag
Map_StarsAnimCnt,$00B6,1,,0,,0,Overworld,"During World Intro, a simple counter that adds 32 per frame and toggles Map_StarsFrame when it overflows"
Map_StarsFrame,$00B7,1,,0,,0,Overworld,"During World Intro, ""frame"" of stars (0/1)"
Title_ObjMLFlags,$00B7,2,,0,,0,Title Screen/Ending,Mario / Luigi Sprite flags
Map_StarsPattern,$00B8,1,,0,,0,Overworld,"During World Intro, stars current VROM pattern"
Map_StarsLandRad,$00B9,1,,0,,0,Overworld,"During World Intro, stars landing radius (0 = largest, increments for smaller)"
Title_ObjMLMoveDir,$00B9,1,,0,,0,Title Screen/Ending,"Mario / Luigi move direction
0 = No move, 1 = Left, 2 = Right"
Map_StarsYSteps,$00BA,1,,0,,0,Overworld,"During World Intro, number of ""steps"" remaining in the Y position adjustment"
Title_ObjMLAnimFrame,$00BB,2,,0,,0,Title Screen/Ending,Mario / Luigi animation frame
Map_StarsRadius,$00BC,8,,0,,0,Overworld,"During World Intro, each star's ""radius"" position (each radius position is 0-31)"
Title_ObjMLDirTicks,$00BD,2,,0,,0,Title Screen/Ending,Mario / Luigi animation ticks
Player_XVel,$00BD,1,,0,,0,Player,Player's X Velocity (negative values to the left) (max value is $38)
Objects_XVel,$00BE,8,,0,,0,Sprites,Other object's X velocities
Title_ObjMLSprite,$00BF,2,,0,,0,Title Screen/Ending,Mario / Luigi next sprite to display
Title_ObjMLPower,$00C1,2,,0,,0,Title Screen/Ending,"Mario / Luigi current powerup (0 = Small, 1 = Big, 2 = Leaf)"
Title_ObjMLSprRAMOff,$00C3,2,,0,,0,Title Screen/Ending,Mario / Luigi Defines a Sprite_RAM offset for Mario / Luigi
Map_StarsState,$00C4,1,,0,,0,Overworld,"0 = Stars coming out from center, 1 = Stars moving in towards Player start"
Title_ObjMLSprVis,$00C5,2,,0,,0,Title Screen/Ending,Mario / Luigi sprite sliver visibility bits (generated by Title_MLDetermineSpriteVis)
Map_SkidBack,$00C5,1,,0,,0,Overworld,Player is skidding back (Map_Player_SkidBack stores whether they skidded on their last turn at all)
Objects_VarBSS,$00C6,7,,0,,0,Sprites,OBJECT SLOTS 0 - 5 ONLY ... uncleared var??
Title_ObjMLTailTick,$00C7,2,,0,,0,Title Screen/Ending,Mario / Luigi tail wagging tick
Map_UnusedGOFlag,$00C7,1,,0,,0,Overworld,"Set at map initialization or if Player gets Game Over and selects CONTINUE/END, no apparent purpose"
BonusDie_Y,$00C7,1,,0,,0,Bonus Game,UNUSED Bonus Game Die (1-6) Y position
BonusDie_X,$00C8,1,,0,,0,Bonus Game,UNUSED Bonus Game Die (1-6) X position
BonusDie_YVel,$00C9,1,,0,,0,Bonus Game,UNUSED Bonus Game Die Y Velocity (when it departs)
Title_ObjMLHold,$00C9,2,,0,,0,Title Screen/Ending,Mario / Luigi holding something flag (when non-zero)
BonusDie_YVelFrac,$00CA,1,,0,,0,Bonus Game,UNUSED Bonus Game Die Y Velocity fractional accumulator
Title_ObjMLBonkTick,$00CB,2,,0,,0,Title Screen/Ending,"Mario / Luigi use ""bonked"" frame while > 0"
Map_Intro_CurStripe,$00CC,1,,0,,0,Overworld,"Current stripe of the ""World X"" intro box to be erased (0 - 7)"
Map_Intro_NTOff,$00CD,1,,0,,0,Overworld,"Offset into nametable for erasing the ""World X"" intro box"
SlotIndexBackup,$00CD,1,,0,,0,Level,"Used as a backup for the slot index (e.g. current object, current score, etc.)"
Title_ObjMLKickTick,$00CD,2,,0,,0,Title Screen/Ending,Mario / Luigi use kicking frame while > 0
Player_HaltGame,$00CE,1,,0,,0,Level,"Player is halting game (e.g. dying, shrinking/growing, etc.)"
Map_Intro_ATOff,$00CE,1,,0,,0,Overworld,"Offset into the attribute table for erasing the ""World X"" intro box"
Map_Airship_DC,$00CF,1,,0,,0,Overworld,Set to 1 when the Airship knows where it's going
Player_YVel,$00CF,1,,0,,0,Player,Player's Y Velocity (negative values upward)
Title_ObjMPowerDown,$00CF,1,,0,,0,Title Screen/Ending,Mario power down animation counter
Title_ObjMLStop,$00D0,1,,0,,0,Title Screen/Ending,"Flag used briefly to ""hold"" Mario/Luigi from moving so they get a ""running start"""
Objects_YVel,$00D0,8,,0,,0,Sprites,Other object's Y velocities
Map_Airship_DY,$00D0,1,,0,,0,Overworld,Airship delta between current and target Y coordinate
Map_Airship_YNib,$00D1,1,,0,,0,Overworld,Map_Airship_DY shifts out its lower 4 bits as upper 4 bits to this value
Title_CurMLIndex,$00D1,1,,0,,0,Title Screen/Ending,"0 for Mario, 1 for Luigi"
Ending_Timer,$00D2,2,,0,,0,Title Screen/Ending,"Twin ending timers, generally one for Mario and one for Princess"
Title_ObjFlags,$00D2,6,,0,,0,Title Screen/Ending,Minor objects' sprite flags
Map_Airship_YAcc,$00D2,1,,0,,0,Overworld,Additional Y accumulator when traveling
Map_Airship_DXHi,$00D3,1,,0,,0,Overworld,Airship delta between current and target X Hi coordinate
Map_Airship_DX,$00D4,1,,0,,0,Overworld,Airship delta between current and target X coordinate
EndText_Timer,$00D4,1,,0,,0,Title Screen/Ending,Timer used for the ending text display
Ending_State,$00D5,1,,0,,0,Title Screen/Ending,"Current state value for initial part of ending (the princess, prior to curtain)"
Map_Airship_XNib,$00D5,1,,0,,0,Overworld,Map_Airship_DXHi/Map_Airship_DX shifts out its lower 4 bits as upper 4 bits to this value
EndText_VL,$00D6,1,,0,,0,Title Screen/Ending,Princess speech VRAM Address Low
Map_Airship_Dir,$00D6,1,,0,,0,Overworld,"Airship horizontal travel direction in bit 0, vertical direction in bit 1"
Map_HideObj,$00D7,1,,0,,0,Overworld,used for completion) (TOFIX)
EndText_VH,$00D7,1,,0,,0,Title Screen/Ending,Princess speech VRAM Address High
EndText_CPos,$00D8,1,,0,,0,Title Screen/Ending,Princess speech Character Position
Player_InAir,$00D8,1,,0,,0,Player,"When set, Player is in the air"
Title_ObjStates,$00D8,6,,0,,0,Title Screen/Ending,Title screen array of states for the individual objects (NOT including Mario/Luigi)
MapPoof_Y,$00D8,1,,0,,0,Overworld,"When using a power-up, ""poof"" appears at this Y coordinate"
EndText_State,$00D9,1,,0,,0,Title Screen/Ending,Princess speech state variable
CineKing_Frame2,$00D9,1,,0,,0,Level,"Used only by the World 6 King (Seal juggling a crown, the crown's frame)"
MapPoof_X,$00D9,1,,0,,0,Overworld,"When using a power-up, ""poof"" appears at this X coordinate"
Objects_DetStat,$00D9,8,,0,,0,Sprites,"Object's detection bits:
 $01-hit wall right
 $02-hit wall left
 $04-hit ground
 $08-hit ceiling
n $80-object touching ""32 pixel partition"" floor (if active)"
Map_UseItem,$00DA,1,,0,,0,Overworld,Flag to signal that item is to be used
Title_State,$00DE,1,,0,,0,Title Screen/Ending,"00 = Prior to red curtain rise, 01 = Rising curtain..."
Title_ResetCnt,$00DF,1,,0,,0,Title Screen/Ending,"Title reset counter -- when on the menu, once this hits zero, the title sequence restarts"
Title_ResetCnt2,$00E0,1,,0,,0,Title Screen/Ending,"When this goes to zero, it decrements Title_ResetCnt"
Title_ResetTrig,$00E1,1,,0,,0,Title Screen/Ending,"When non-zero, resets title screen"
Player_SprWorkL,$00E1,1,,0,,0,Level,Sprite work address low
Title_UnusedFlag,$00E2,1,,0,,0,Title Screen/Ending,"Doesn't seem to do anything useful but not do the ""skip"" state if Player presses START early on the title screen"
Player_SprWorkH,$00E2,1,,0,,0,Level,Sprite work address high
Title_Ticker,$00E3,1,,0,,0,Title Screen/Ending,"Tick counter for title screen intro ""movie"""
Title_MActScriptPos,$00E4,1,,0,,0,Title Screen/Ending,Offset within Mario's action script
Level_TileOff,$00E4,1,,0,,0,Level,Tile mem offset
Level_Tile,$00E5,1,,0,,0,Level,Temporary holding point for a detected tile index
Title_LActScriptPos,$00E5,1,,0,,0,Title Screen/Ending,Offset within Luigi's action script
World_Map_Tile,$00E5,1,,0,,0,Overworld,Current tile index Mario is standing on
Player_Slopes,$00E6,3,,0,,0,Level,"for sloped levels only (3 bytes allocated, but only one actually used)
NOTE: Code at PRG030_9EDB clears Player_Slopes+1 and Player_Slopes+2, but these are never used!"
Title_MActScriptDelay,$00E6,1,,0,,0,Title Screen/Ending,Mario's action script delay until next event
Title_LActScriptDelay,$00E7,1,,0,,0,Title Screen/Ending,Luigi's action script delay until next event
Title_MActScriptDirSet,$00E8,1,,0,,0,Title Screen/Ending,"Mario's action script Buffer for last queue command (sets respective ""Title_ObjMLDir"" variable)"
Scroll_Temp,$00E9,1,,0,,0,Overworld,Scroll hold value
Title_LActScriptDirSet,$00E9,1,,0,,0,Title Screen/Ending,"Luigi's action script Buffer for last queue command (sets respective ""Title_ObjMLDir"" variable)"
Title_ObjMLDir,$00EA,2,,0,,0,Title Screen/Ending,"Mario / Luigi vector direction bitfield (1 = Left, 2 = Right, 4 = Down, 8 = Up, $10 = Sprite behind BG, $80 = Tail wagging)"
Player_XStart,$00EB,1,,0,,0,Player,Set to Player's original starting X position (also used to check if level has initialized)
Player_WalkFrame,$00EC,1,,0,,0,Overworld,"Relative, not the same as Player_Frame"
Title_ObjMLQueue,$00EC,2,,0,,0,Title Screen/Ending,"Mario / Luigi queue to do something ($04 = Luigi's rebound off Mario, $10 = Kick shell, $20 = Begin carrying, $40 = Clear carry/bonk, do kick)"
Player_Suit,$00ED,1,,0,,0,Player,"Player's active powerup (see also: Player_QueueSuit)
Small = 0
Big = 1
Fire Flower = 2
Raccoon Suit = 3
Frog Suit = 4
Tanooki Suit = 5
Hammer Suit = 6"
Player_Frame,$00EE,1,,0,,0,Player,Player display frame
Title_EventIndex,$00EE,1,,0,,0,Title Screen/Ending,Title background event index (dynamic jump index for events on the title
Title_EventGrafX,$00EF,1,,0,,0,Title Screen/Ending,Title background current graphic index to load (loads items from Video_Upd_Table2 in PRG025)
Player_FlipBits,$00EF,1,,0,,0,Player,"Set to $00 for Player to face left, Set to $40 for Player to face right"
Title_ObjInitIdx,$00F0,1,,0,,0,Title Screen/Ending,"Current title screen ""event"" ID during the intro scene with Mario and Luigi"
Player_WagCount,$00F0,1,,0,,0,Player,"After wagging raccoon tail, until this hits zero, holding 'A' keeps your fall rate low"
Title_ObjInitDly,$00F1,1,,0,,0,Title Screen/Ending,Timer count before next object init
Player_IsDying,$00F1,1,,0,,0,Player,"0 = Not dying, 1 = Dying, 2 = Dropped off screen, 3 = Death due to TIME UP"
Title_3GlowFlag,$00F2,1,,0,,0,Title Screen/Ending,"When non-zero, begins the ""glowing"" effect for the big '3'"
Title_3GlowIndex,$00F3,1,,0,,0,Title Screen/Ending,Index into an array of colors to cause the big '3' on the title screen to glow
Obj01_Flag,$00F3,1,,0,,0,Sprites,Not sure what Obj01 is!! This blocks its left/right handler logic.
Scroll_OddEven,$00F4,1,,0,,0,Camera,"0 or 1, depending on what part of 8 pixels has crossed (need better description) (TOFIX)"
Ending2_IntCmd,$00F4,1,,0,,0,Title Screen/Ending,"Used during ending to buffer out the ending picture data on the interrupt.
Triggers ""Do_Ending2_IntCmd"" in PRG024 in interrupt context."
Controller1Press,$00F5,1,,0,,0,I/O,"Player 1's controller ""pressed this frame only"" (see Controller1 for values)"
Controller2Press,$00F6,1,,0,,0,I/O,"Player 2's controller ""pressed this frame only"" (see Controller2 for values)"
Controller1,$00F7,1,,0,,0,I/O,"Player 1's controller inputs
NES -- R01 L02 D04 U08 S10 E20 B40 A80"
Controller2,$00F8,1,,0,,0,I/O,"Player 2's controller inputs
NES -- R01 L02 D04 U08 S10 E20 B40 A80"
,$00F9,3,,0,,0,Empty,Unused.
Vert_Scroll,$00FC,1,$7E0216,2,,0,Camera,"Vertical scroll of name table; typically at $EF (239, basically showing the bottom half)"
Horz_Scroll,$00FD,1,$7E0210,2,,0,Camera,Horizontal scroll of name table
,$00FE,1,,0,,0,Empty,Unused.
PPU_CTL1_Copy,$00FF,1,,0,,0,Hardware Mirror,Holds PPU_CTL1 register data
Update_Select,$0100,1,,0,,0,Video,"Changes which path of ""update routines"" are selected
$00 = ??, $20 = Title Screen, $40 = Spade Game, $80 = Vertical level, $A0 = 32 pixel partition, $C0 = Normal"
Raster_Effect,$0101,1,,0,,0,Video,"$00 is standard status bar, $20 is title/ending, $40 = 32 pixel partition, $60 = Spade Bonus Game (3 sliding rows), $80 is nothing (e.g. as in 2P versus), $A0 = ???"
,$0102,254,,0,,0,Misc.,Stack.
Debug_Flag,$0160,1,,0,,0,Misc.,"Set to $80 by the debug menu, enables debug functionality like power level cycling and not dying from time over.
NES - Merges with previous stack area."
Sprite_RAM,$0200,256,,0,,0,Sprites,"This is where sprite memory is stored locally prior to being DMA'ed.

Sprite memory is laid out in four bytes:
Byte 0 - Stores the y-coordinate of the top left of the sprite minus 1.
Byte 1 - Index number of the sprite in the pattern tables.
Byte 2 - Stores the attributes of the sprite.
* Bits 0-1 - Most significant two bits of the colour.
* Bit 5 - Indicates whether this sprite has priority over the background.
* Bit 6 - Indicates whether to flip the sprite horizontally.
* Bit 7 - Indicates whether to flip the sprite vertically.
Byte 3 - X coordinate"
